test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_statements_for_in_var_arraybindingpattern_initializer_js	1	54560	55344	784
annexB_language_statements_for_in_let_initializer_js	1	47440	47456	16
annexB_language_statements_try_catch_redeclared_for_of_var_js	0	63456	64448	992
annexB_language_statements_try_catch_redeclared_var_statement_captured_js	0	65168	65888	720
annexB_language_statements_try_catch_redeclared_for_var_js	0	64448	65168	720
annexB_language_statements_for_in_var_objectbindingpattern_initializer_js	1	55344	55936	592
annexB_language_statements_for_in_bare_initializer_js	1	47376	47424	48
annexB_language_statements_try_catch_redeclared_var_statement_js	0	65888	72432	6544
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_js	0	55344	61744	6400
annexB_language_global_code_switch_case_global_existing_block_fn_no_init_js	0	75728	76368	640
annexB_language_global_code_switch_case_global_init_js	0	115248	119184	3936
annexB_language_global_code_switch_case_global_update_js	0	124784	125568	784
annexB_language_global_code_if_stmt_else_decl_global_update_js	0	61744	68192	6448
annexB_language_global_code_switch_case_global_existing_fn_no_init_js	0	82976	83616	640
annexB_language_global_code_switch_case_global_existing_non_enumerable_global_init_js	0	97088	114176	17088
annexB_language_global_code_switch_dflt_global_existing_block_fn_update_js	0	127024	127744	720
annexB_language_global_code_switch_case_global_existing_var_update_js	0	114576	115248	672
annexB_language_global_code_switch_case_global_skip_early_err_for_of_js	0	121264	122064	800
annexB_language_global_code_switch_case_global_skip_early_err_for_js	0	122064	122864	800
annexB_language_global_code_switch_case_global_skip_early_err_try_js	0	123536	124256	720
annexB_language_literals_regexp_identity_escape_js	0	166768	168496	1728
annexB_language_global_code_switch_case_global_existing_fn_update_js	0	83616	84320	704
annexB_language_global_code_switch_dflt_global_block_scoping_js	0	125568	126368	800
annexB_language_global_code_switch_dflt_global_existing_block_fn_no_init_js	0	126368	127024	656
annexB_language_literals_regexp_quantifiable_assertion_not_followed_by_js	0	181904	183584	1680
annexB_language_global_code_switch_case_global_existing_block_fn_update_js	0	76368	82976	6608
annexB_language_global_code_switch_dflt_global_existing_var_update_js	0	146912	147424	512
annexB_language_global_code_switch_dflt_global_no_skip_try_js	0	157600	158000	400
annexB_language_global_code_switch_dflt_global_skip_early_err_for_of_js	0	159104	159696	592
annexB_language_global_code_switch_dflt_global_init_js	0	147440	157600	10160
annexB_language_global_code_switch_dflt_global_skip_early_err_try_js	0	160880	161552	672
annexB_language_literals_regexp_class_escape_js	0	162816	166144	3328
annexB_language_literals_regexp_non_empty_class_ranges_js	0	179072	179760	688
annexB_language_global_code_if_decl_else_stmt_global_existing_global_init_js	0	55248	72288	17040
annexB_language_global_code_if_decl_no_else_global_existing_non_enumerable_global_init_js	0	128608	139296	10688
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_js	0	103504	104288	784
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_switch_js	0	104288	105184	896
annexB_language_global_code_if_decl_no_else_global_skip_early_err_switch_js	0	147744	148256	512
annexB_language_global_code_if_decl_else_stmt_global_init_js	0	90800	101056	10256
annexB_language_global_code_if_decl_else_stmt_global_no_skip_try_js	0	101056	101616	560
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_of_js	0	102832	103504	672
annexB_language_global_code_if_decl_no_else_global_existing_var_no_init_js	0	139296	139808	512
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_in_js	0	102256	102832	576
annexB_language_global_code_if_decl_else_stmt_global_update_js	0	106768	107280	512
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_js	0	106048	106768	720
annexB_language_global_code_if_decl_no_else_global_block_scoping_js	0	107280	107856	576
annexB_language_global_code_if_decl_no_else_global_existing_fn_update_js	0	115488	122192	6704
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_switch_js	0	191488	192240	752
annexB_language_global_code_if_decl_no_else_global_existing_fn_no_init_js	0	109008	115488	6480
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_block_js	0	101616	102256	640
annexB_language_global_code_if_decl_no_else_global_skip_early_err_block_js	0	145296	145856	560
annexB_language_global_code_if_stmt_else_decl_global_existing_block_fn_no_init_js	0	151248	151968	720
annexB_language_global_code_if_stmt_else_decl_global_existing_non_enumerable_global_init_js	0	166352	177424	11072
annexB_language_global_code_if_stmt_else_decl_global_existing_block_fn_update_js	0	151968	152800	832
annexB_language_global_code_if_decl_else_stmt_global_existing_non_enumerable_global_init_js	0	72304	89392	17088
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_for_js	0	190976	191488	512
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_for_in_js	0	168624	169248	624
annexB_language_global_code_block_decl_global_skip_early_err_js	0	69504	70128	624
annexB_language_global_code_if_decl_else_decl_a_global_existing_block_fn_update_js	0	72576	73568	992
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_try_js	0	171520	172160	640
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_for_of_js	0	130128	130944	816
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_block_js	0	128784	129328	544
annexB_language_global_code_if_decl_else_decl_a_global_existing_block_fn_no_init_js	0	71824	72576	752
annexB_language_global_code_if_decl_else_decl_b_global_existing_var_no_init_js	0	162752	163408	656
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_for_in_js	0	129328	130128	800
annexB_language_global_code_if_decl_else_decl_a_global_no_skip_try_js	0	122304	128784	6480
annexB_language_global_code_if_decl_else_stmt_global_existing_block_fn_no_init_js	0	174352	174912	560
annexB_language_global_code_if_decl_else_stmt_global_block_scoping_js	0	173424	174352	928
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_js	0	139392	140048	656
annexB_language_global_code_if_decl_else_decl_b_global_block_scoping_js	0	140688	141680	992
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_switch_js	0	170848	171520	672
annexB_language_global_code_if_decl_else_decl_b_global_existing_block_fn_no_init_js	0	141680	142416	736
annexB_language_global_code_if_decl_else_decl_b_global_update_js	0	172784	173424	640
annexB_language_global_code_if_decl_else_decl_a_global_existing_fn_no_init_js	0	73568	74320	752
annexB_language_global_code_if_decl_else_decl_b_global_existing_var_update_js	0	163408	164032	624
annexB_language_global_code_if_decl_else_decl_b_global_init_js	0	164032	167248	3216
annexB_language_global_code_if_decl_else_decl_a_global_existing_non_enumerable_global_init_js	0	93744	105312	11568
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_for_of_js	0	169248	170016	768
annexB_language_global_code_if_decl_else_decl_a_global_existing_fn_update_js	0	74320	75168	848
annexB_language_function_code_switch_dflt_func_init_js	0	108656	109424	768
annexB_language_function_code_switch_case_func_existing_fn_update_js	0	57280	63776	6496
annexB_language_function_code_switch_dflt_func_skip_dft_param_js	0	110144	110864	720
annexB_language_function_code_switch_dflt_func_skip_param_js	0	116144	116784	640
annexB_language_global_code_block_decl_global_existing_fn_no_init_js	0	120096	120880	784
annexB_language_function_code_switch_case_func_init_js	0	70880	71664	784
annexB_language_function_code_switch_case_func_skip_early_err_switch_js	0	87696	88352	656
annexB_language_function_code_switch_case_func_skip_early_err_js	0	89024	95648	6624
annexB_language_global_code_block_decl_global_init_js	0	141728	146096	4368
annexB_language_global_code_block_decl_global_existing_var_no_init_js	0	140320	140992	672
annexB_language_function_code_switch_case_func_skip_early_err_for_js	0	86912	87696	784
annexB_language_function_code_switch_dflt_func_existing_block_fn_no_init_js	0	104528	105184	656
annexB_language_function_code_switch_dflt_func_existing_block_fn_update_js	0	105184	105952	768
annexB_language_function_code_switch_dflt_func_existing_var_update_js	0	107984	108656	672
annexB_language_global_code_block_decl_global_block_scoping_js	0	117568	118592	1024
annexB_language_function_code_switch_dflt_func_skip_early_err_js	0	115472	116144	672
annexB_language_global_code_block_decl_global_existing_block_fn_update_js	0	119264	120096	832
annexB_language_function_code_switch_case_func_skip_early_err_for_in_js	0	85424	86064	640
annexB_language_global_code_block_decl_global_existing_fn_update_js	0	120880	121744	864
annexB_language_function_code_switch_dflt_func_skip_early_err_block_js	0	110864	111552	688
annexB_language_function_code_switch_case_func_existing_block_fn_update_js	0	56064	56640	576
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_try_js	0	70560	71232	672
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_update_js	0	95984	96688	704
annexB_language_function_code_if_decl_else_stmt_func_skip_dft_param_js	0	54880	61152	6272
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_for_js	0	69104	69856	752
annexB_language_function_code_if_decl_no_else_func_existing_block_fn_update_js	0	74736	75328	592
annexB_language_function_code_if_decl_no_else_func_skip_early_err_block_js	0	80480	81120	640
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_no_init_js	0	95136	95984	848
annexB_language_function_code_if_decl_no_else_func_block_scoping_js	0	73312	74176	864
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_js	0	71232	71968	736
annexB_language_function_code_if_decl_no_else_func_existing_var_update_js	0	77472	78208	736
annexB_language_function_code_if_decl_no_else_func_no_skip_try_js	0	78992	79808	816
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_in_js	0	101056	101792	736
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_of_js	0	101792	102560	768
annexB_language_function_code_if_decl_no_else_func_skip_early_err_try_js	0	84096	84832	736
annexB_language_function_code_if_decl_no_else_func_existing_fn_update_js	0	76016	76768	752
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_js	0	102560	103312	752
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_switch_js	0	103312	103936	624
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_try_js	0	103936	110656	6720
annexB_language_function_code_switch_case_decl_nostrict_js	0	112928	113664	736
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_for_in_js	0	76224	76944	720
annexB_language_function_code_if_decl_else_decl_a_func_block_scoping_js	0	68224	68976	752
annexB_language_function_code_if_decl_else_decl_b_func_existing_block_fn_no_init_js	0	83312	84000	688
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_try_js	0	79296	80160	864
annexB_language_function_code_if_decl_else_decl_b_func_no_skip_try_js	0	88528	89264	736
annexB_language_function_code_if_decl_else_decl_a_func_no_skip_try_js	0	73952	74784	832
annexB_language_function_code_function_redeclaration_block_js	0	61264	61808	544
annexB_language_function_code_if_decl_else_decl_b_func_existing_fn_no_init_js	0	84848	85424	576
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_for_js	0	92336	93056	720
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_block_js	0	75520	76224	704
annexB_language_function_code_if_decl_else_decl_b_func_skip_dft_param_js	0	89264	90016	752
annexB_language_function_code_if_decl_else_decl_a_func_skip_param_js	0	80896	81616	720
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_no_init_js	0	86176	86864	688
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_update_js	0	86864	87616	752
annexB_language_function_code_if_decl_else_decl_a_func_existing_fn_no_init_js	0	70400	71104	704
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_block_js	0	90016	90768	752
annexB_language_function_code_if_decl_else_stmt_func_existing_fn_no_init_js	0	98976	99680	704
annexB_language_function_code_if_decl_else_decl_a_func_skip_dft_param_js	0	74784	75520	736
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_switch_js	0	93056	93744	688
annexB_language_function_code_if_decl_else_decl_b_func_skip_param_js	0	95232	95968	736
annexB_language_function_code_block_decl_nostrict_js	0	54528	61264	6736
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_try_js	0	93744	94464	720
annexB_language_function_code_if_decl_else_stmt_func_existing_block_fn_update_js	0	98272	98976	704
annexB_language_function_code_if_decl_else_stmt_func_init_js	0	101664	102480	816
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_block_scoping_js	0	55568	68496	12928
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_block_js	0	116976	118000	1024
annexB_language_function_code_block_decl_func_skip_arguments_js	0	138720	139872	1152
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_fn_no_init_js	0	82592	83664	1072
annexB_language_expressions_assignmenttargettype_callexpression_as_for_of_lhs_js	0	126512	127520	1008
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_non_enumerable_global_init_js	0	98048	103152	5104
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_block_fn_update_js	0	75456	82592	7136
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	68496	75456	6960
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_var_update_js	0	104016	104976	960
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_for_js	0	120320	121328	1008
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_try_js	0	122416	123616	1200
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_update_js	0	124640	125648	1008
annexB_language_function_code_block_decl_func_skip_early_err_try_js	0	144208	144976	768
annexB_language_expressions_assignmenttargettype_callexpression_as_for_in_lhs_js	0	125648	126512	864
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_var_no_init_js	0	103152	104016	864
annexB_language_expressions_assignmenttargettype_callexpression_in_postfix_update_js	0	128288	129008	720
annexB_language_expressions_assignmenttargettype_callexpression_js	0	129872	130624	752
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_fn_update_js	0	83664	84720	1056
annexB_language_function_code_block_decl_func_skip_early_err_switch_js	0	143488	144208	720
annexB_language_expressions_template_literal_legacy_octal_escape_sequence_non_strict_js	0	131536	132080	544
annexB_language_function_code_block_decl_func_block_scoping_js	0	132112	132896	784
annexB_language_function_code_block_decl_func_skip_dft_param_js	0	139872	140592	720
annexB_language_function_code_block_decl_func_existing_block_fn_update_js	0	133568	134288	720
annexB_language_function_code_block_decl_func_existing_fn_no_init_js	0	134288	134960	672
annexB_language_function_code_block_decl_func_skip_early_err_for_in_js	0	141296	142032	736
annexB_language_function_code_block_decl_func_existing_var_no_init_js	0	135680	136464	784
annexB_language_function_code_block_decl_func_init_js	0	137200	137968	768
