test_name	exit_code	elapsed_us
annexB_language_statements_for_in_var_arraybindingpattern_initializer_js	1	8083
annexB_language_statements_for_in_let_initializer_js	1	78
annexB_language_statements_try_catch_redeclared_for_of_var_js	0	9258
annexB_language_statements_try_catch_redeclared_var_statement_captured_js	0	8364
annexB_language_statements_try_catch_redeclared_for_var_js	0	8583
annexB_language_statements_for_in_var_objectbindingpattern_initializer_js	1	8013
annexB_language_statements_for_in_bare_initializer_js	1	164
annexB_language_statements_try_catch_redeclared_var_statement_js	0	8642
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_js	0	17639
annexB_language_global_code_switch_case_global_existing_block_fn_no_init_js	0	18714
annexB_language_global_code_switch_case_global_init_js	0	85370
annexB_language_global_code_switch_case_global_update_js	0	15924
annexB_language_global_code_if_stmt_else_decl_global_update_js	0	15721
annexB_language_global_code_switch_case_global_existing_fn_no_init_js	0	15235
annexB_language_global_code_switch_case_global_existing_non_enumerable_global_init_js	0	51775
annexB_language_global_code_switch_dflt_global_existing_block_fn_update_js	0	17558
annexB_language_global_code_switch_case_global_existing_var_update_js	0	18088
annexB_language_global_code_switch_case_global_skip_early_err_for_of_js	0	17011
annexB_language_global_code_switch_case_global_skip_early_err_for_js	0	18641
annexB_language_global_code_switch_case_global_skip_early_err_try_js	0	18966
annexB_language_literals_regexp_identity_escape_js	0	24231
annexB_language_global_code_switch_case_global_existing_fn_update_js	0	19285
annexB_language_global_code_switch_dflt_global_block_scoping_js	0	17157
annexB_language_global_code_switch_dflt_global_existing_block_fn_no_init_js	0	18954
annexB_language_literals_regexp_quantifiable_assertion_not_followed_by_js	0	22866
annexB_language_global_code_switch_case_global_existing_block_fn_update_js	0	17470
annexB_language_global_code_switch_dflt_global_existing_var_update_js	0	15502
annexB_language_global_code_switch_dflt_global_no_skip_try_js	0	14551
annexB_language_global_code_switch_dflt_global_skip_early_err_for_of_js	0	16563
annexB_language_global_code_switch_dflt_global_init_js	0	35395
annexB_language_global_code_switch_dflt_global_skip_early_err_try_js	0	15946
annexB_language_literals_regexp_class_escape_js	0	63638
annexB_language_literals_regexp_non_empty_class_ranges_js	0	13871
annexB_language_global_code_if_decl_else_stmt_global_existing_global_init_js	0	50521
annexB_language_global_code_if_decl_no_else_global_existing_non_enumerable_global_init_js	0	51368
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_js	0	15218
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_switch_js	0	17739
annexB_language_global_code_if_decl_no_else_global_skip_early_err_switch_js	0	17365
annexB_language_global_code_if_decl_else_stmt_global_init_js	0	41866
annexB_language_global_code_if_decl_else_stmt_global_no_skip_try_js	0	17125
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_of_js	0	19175
annexB_language_global_code_if_decl_no_else_global_existing_var_no_init_js	0	14249
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_in_js	0	19106
