test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_statements_for_in_var_arraybindingpattern_initializer_js	1	44224	51056	6832
annexB_language_statements_for_in_let_initializer_js	1	43072	43088	16
annexB_language_statements_try_catch_redeclared_for_of_var_js	0	53168	54144	976
annexB_language_statements_try_catch_redeclared_var_statement_captured_js	0	61056	61760	704
annexB_language_statements_try_catch_redeclared_for_var_js	0	54144	61056	6912
annexB_language_statements_for_in_var_objectbindingpattern_initializer_js	1	51056	51680	624
annexB_language_statements_for_in_bare_initializer_js	1	43024	43056	32
annexB_language_statements_try_catch_redeclared_var_statement_js	0	61760	62432	672
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_js	0	44848	51232	6384
annexB_language_global_code_switch_case_global_existing_block_fn_no_init_js	0	59648	60512	864
annexB_language_global_code_switch_case_global_init_js	0	87184	91184	4000
annexB_language_global_code_switch_case_global_update_js	0	96752	97504	752
annexB_language_global_code_if_stmt_else_decl_global_update_js	0	51232	51776	544
annexB_language_global_code_switch_case_global_existing_fn_no_init_js	0	61312	62032	720
annexB_language_global_code_switch_case_global_existing_non_enumerable_global_init_js	0	74832	86192	11360
annexB_language_global_code_switch_dflt_global_existing_block_fn_update_js	0	98912	99600	688
annexB_language_global_code_switch_case_global_existing_var_update_js	0	86640	87184	544
annexB_language_global_code_switch_case_global_skip_early_err_for_of_js	0	93232	94032	800
annexB_language_global_code_switch_case_global_skip_early_err_for_js	0	94032	94512	480
annexB_language_global_code_switch_case_global_skip_early_err_try_js	0	95216	96016	800
annexB_language_literals_regexp_identity_escape_js	0	132656	140304	7648
annexB_language_global_code_switch_case_global_existing_fn_update_js	0	62032	62704	672
annexB_language_global_code_switch_dflt_global_block_scoping_js	0	97504	98176	672
annexB_language_global_code_switch_dflt_global_existing_block_fn_no_init_js	0	98176	98912	736
annexB_language_literals_regexp_quantifiable_assertion_not_followed_by_js	0	147120	148928	1808
annexB_language_global_code_switch_case_global_existing_block_fn_update_js	0	60512	61312	800
annexB_language_global_code_switch_dflt_global_existing_var_update_js	0	118640	119072	432
annexB_language_global_code_switch_dflt_global_no_skip_try_js	0	122656	123232	576
annexB_language_global_code_switch_dflt_global_skip_early_err_for_of_js	0	124352	124864	512
annexB_language_global_code_switch_dflt_global_init_js	0	119072	122656	3584
annexB_language_global_code_switch_dflt_global_skip_early_err_try_js	0	126320	127136	816
annexB_language_literals_regexp_class_escape_js	0	128528	131888	3360
annexB_language_literals_regexp_non_empty_class_ranges_js	0	144448	145264	816
annexB_language_global_code_if_decl_else_stmt_global_existing_global_init_js	0	44912	57056	12144
annexB_language_global_code_if_decl_no_else_global_existing_non_enumerable_global_init_js	0	113248	118288	5040
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_js	0	87840	88512	672
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_switch_js	0	88512	89296	784
annexB_language_global_code_if_decl_no_else_global_skip_early_err_switch_js	0	126240	126928	688
annexB_language_global_code_if_decl_else_stmt_global_init_js	0	75280	85536	10256
annexB_language_global_code_if_decl_else_stmt_global_no_skip_try_js	0	85536	85888	352
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_of_js	0	87056	87840	784
annexB_language_global_code_if_decl_no_else_global_existing_var_no_init_js	0	118288	118688	400
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_in_js	0	86480	87056	576
annexB_language_global_code_if_decl_else_stmt_global_update_js	0	90512	91216	704
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_js	0	89920	90512	592
annexB_language_global_code_if_decl_no_else_global_block_scoping_js	0	91216	91872	656
annexB_language_global_code_if_decl_no_else_global_existing_fn_update_js	0	100128	100928	800
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_switch_js	0	175648	176208	560
annexB_language_global_code_if_decl_no_else_global_existing_fn_no_init_js	0	99424	100128	704
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_block_js	0	85888	86480	592
annexB_language_global_code_if_decl_no_else_global_skip_early_err_block_js	0	123712	124256	544
annexB_language_global_code_if_stmt_else_decl_global_existing_block_fn_no_init_js	0	129760	130384	624
annexB_language_global_code_if_stmt_else_decl_global_existing_non_enumerable_global_init_js	0	144528	155824	11296
annexB_language_global_code_if_stmt_else_decl_global_existing_block_fn_update_js	0	130384	131152	768
annexB_language_global_code_if_decl_else_stmt_global_existing_non_enumerable_global_init_js	0	57056	68304	11248
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_for_js	0	175056	175648	592
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_for_in_js	0	141328	142048	720
annexB_language_global_code_block_decl_global_skip_early_err_js	0	65728	66400	672
annexB_language_global_code_if_decl_else_decl_a_global_existing_block_fn_update_js	0	68736	69696	960
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_try_js	0	150000	150560	560
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_for_of_js	0	96864	97504	640
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_block_js	0	95632	96240	608
annexB_language_global_code_if_decl_else_decl_a_global_existing_block_fn_no_init_js	0	67984	68736	752
annexB_language_global_code_if_decl_else_decl_b_global_existing_var_no_init_js	0	128800	129296	496
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_for_in_js	0	96240	96864	624
annexB_language_global_code_if_decl_else_decl_a_global_no_skip_try_js	0	95088	95632	544
annexB_language_global_code_if_decl_else_stmt_global_existing_block_fn_no_init_js	0	152976	153568	592
annexB_language_global_code_if_decl_else_stmt_global_block_scoping_js	0	152176	152976	800
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_js	0	99712	100496	784
annexB_language_global_code_if_decl_else_decl_b_global_block_scoping_js	0	101216	102064	848
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_switch_js	0	143552	150000	6448
annexB_language_global_code_if_decl_else_decl_b_global_existing_block_fn_no_init_js	0	102064	102960	896
annexB_language_global_code_if_decl_else_decl_b_global_update_js	0	151376	152176	800
annexB_language_global_code_if_decl_else_decl_a_global_existing_fn_no_init_js	0	69696	70464	768
annexB_language_global_code_if_decl_else_decl_b_global_existing_var_update_js	0	129296	129872	576
annexB_language_global_code_if_decl_else_decl_b_global_init_js	0	129872	140304	10432
annexB_language_global_code_if_decl_else_decl_a_global_existing_non_enumerable_global_init_js	0	78000	89056	11056
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_for_of_js	0	142048	142672	624
annexB_language_global_code_if_decl_else_decl_a_global_existing_fn_update_js	0	70464	71280	816
annexB_language_function_code_switch_dflt_func_init_js	0	87376	88144	768
annexB_language_function_code_switch_case_func_existing_fn_update_js	0	52512	53232	720
annexB_language_function_code_switch_dflt_func_skip_dft_param_js	0	88816	89408	592
annexB_language_function_code_switch_dflt_func_skip_param_js	0	94672	95392	720
annexB_language_global_code_block_decl_global_existing_fn_no_init_js	0	98544	99360	816
annexB_language_function_code_switch_case_func_init_js	0	54592	61296	6704
annexB_language_function_code_switch_case_func_skip_early_err_switch_js	0	77808	78432	624
annexB_language_function_code_switch_case_func_skip_early_err_js	0	79216	79872	656
annexB_language_global_code_block_decl_global_init_js	0	113968	117472	3504
annexB_language_global_code_block_decl_global_existing_var_no_init_js	0	112528	113216	688
annexB_language_function_code_switch_case_func_skip_early_err_for_js	0	71008	77808	6800
annexB_language_function_code_switch_dflt_func_existing_block_fn_no_init_js	0	83072	83712	640
annexB_language_function_code_switch_dflt_func_existing_block_fn_update_js	0	83712	84496	784
annexB_language_function_code_switch_dflt_func_existing_var_update_js	0	86576	87376	800
annexB_language_global_code_block_decl_global_block_scoping_js	0	96128	97056	928
annexB_language_function_code_switch_dflt_func_skip_early_err_js	0	93968	94672	704
annexB_language_global_code_block_decl_global_existing_block_fn_update_js	0	97760	98544	784
annexB_language_function_code_switch_case_func_skip_early_err_for_in_js	0	63296	70096	6800
annexB_language_global_code_block_decl_global_existing_fn_update_js	0	99360	100240	880
annexB_language_function_code_switch_dflt_func_skip_early_err_block_js	0	89408	90096	688
annexB_language_function_code_switch_case_func_existing_block_fn_update_js	0	51312	51920	608
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_try_js	0	66496	67280	784
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_update_js	0	86032	86800	768
annexB_language_function_code_if_decl_else_stmt_func_skip_dft_param_js	0	44608	45136	528
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_for_js	0	59296	65744	6448
annexB_language_function_code_if_decl_no_else_func_existing_block_fn_update_js	0	70816	71584	768
annexB_language_function_code_if_decl_no_else_func_skip_early_err_block_js	0	76560	77200	640
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_no_init_js	0	85312	86032	720
annexB_language_function_code_if_decl_no_else_func_block_scoping_js	0	69296	70128	832
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_js	0	67280	67920	640
annexB_language_function_code_if_decl_no_else_func_existing_var_update_js	0	73728	74432	704
annexB_language_function_code_if_decl_no_else_func_no_skip_try_js	0	75184	75888	704
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_in_js	0	91088	91872	784
