test_name	exit_code	elapsed_us
annexB_language_statements_for_in_var_arraybindingpattern_initializer_js	1	3323
annexB_language_statements_for_in_let_initializer_js	1	70
annexB_language_statements_try_catch_redeclared_for_of_var_js	0	3628
annexB_language_statements_try_catch_redeclared_var_statement_captured_js	0	3153
annexB_language_statements_try_catch_redeclared_for_var_js	0	3406
annexB_language_statements_for_in_var_objectbindingpattern_initializer_js	1	2885
annexB_language_statements_for_in_bare_initializer_js	1	137
annexB_language_statements_try_catch_redeclared_var_statement_js	0	2886
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_js	0	5373
annexB_language_global_code_switch_case_global_existing_block_fn_no_init_js	0	5234
annexB_language_global_code_switch_case_global_init_js	0	20990
annexB_language_global_code_switch_case_global_update_js	0	4294
annexB_language_global_code_if_stmt_else_decl_global_update_js	0	5712
annexB_language_global_code_switch_case_global_existing_fn_no_init_js	0	4913
annexB_language_global_code_switch_case_global_existing_non_enumerable_global_init_js	0	23884
annexB_language_global_code_switch_dflt_global_existing_block_fn_update_js	0	4577
annexB_language_global_code_switch_case_global_existing_var_update_js	0	4249
annexB_language_global_code_switch_case_global_skip_early_err_for_of_js	0	4674
annexB_language_global_code_switch_case_global_skip_early_err_for_js	0	4594
annexB_language_global_code_switch_case_global_skip_early_err_try_js	0	4646
annexB_language_literals_regexp_identity_escape_js	0	11577
annexB_language_global_code_switch_case_global_existing_fn_update_js	0	6633
annexB_language_global_code_switch_dflt_global_block_scoping_js	0	4797
annexB_language_global_code_switch_dflt_global_existing_block_fn_no_init_js	0	4150
annexB_language_literals_regexp_quantifiable_assertion_not_followed_by_js	0	13350
annexB_language_global_code_switch_case_global_existing_block_fn_update_js	0	4707
annexB_language_global_code_switch_dflt_global_existing_var_update_js	0	4299
annexB_language_global_code_switch_dflt_global_no_skip_try_js	0	4695
annexB_language_global_code_switch_dflt_global_skip_early_err_for_of_js	0	4732
annexB_language_global_code_switch_dflt_global_init_js	0	20925
annexB_language_global_code_switch_dflt_global_skip_early_err_try_js	0	4291
annexB_language_literals_regexp_class_escape_js	0	19920
annexB_language_literals_regexp_non_empty_class_ranges_js	0	6640
annexB_language_global_code_if_decl_else_stmt_global_existing_global_init_js	0	26641
annexB_language_global_code_if_decl_no_else_global_existing_non_enumerable_global_init_js	0	26457
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_js	0	4322
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_switch_js	0	4366
annexB_language_global_code_if_decl_no_else_global_skip_early_err_switch_js	0	4722
annexB_language_global_code_if_decl_else_stmt_global_init_js	0	22299
annexB_language_global_code_if_decl_else_stmt_global_no_skip_try_js	0	5080
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_of_js	0	5177
annexB_language_global_code_if_decl_no_else_global_existing_var_no_init_js	0	4546
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_for_in_js	0	5267
annexB_language_global_code_if_decl_else_stmt_global_update_js	0	4482
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_js	0	4389
annexB_language_global_code_if_decl_no_else_global_block_scoping_js	0	5883
annexB_language_global_code_if_decl_no_else_global_existing_fn_update_js	0	4903
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_switch_js	0	5589
annexB_language_global_code_if_decl_no_else_global_existing_fn_no_init_js	0	4496
annexB_language_global_code_if_decl_else_stmt_global_skip_early_err_block_js	0	4938
annexB_language_global_code_if_decl_no_else_global_skip_early_err_block_js	0	5277
annexB_language_global_code_if_stmt_else_decl_global_existing_block_fn_no_init_js	0	4627
annexB_language_global_code_if_stmt_else_decl_global_existing_non_enumerable_global_init_js	0	26820
annexB_language_global_code_if_stmt_else_decl_global_existing_block_fn_update_js	0	4767
annexB_language_global_code_if_decl_else_stmt_global_existing_non_enumerable_global_init_js	0	26233
annexB_language_global_code_if_stmt_else_decl_global_skip_early_err_for_js	0	5926
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_for_in_js	0	5944
annexB_language_global_code_block_decl_global_skip_early_err_js	0	3981
annexB_language_global_code_if_decl_else_decl_a_global_existing_block_fn_update_js	0	4657
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_try_js	0	6233
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_for_of_js	0	5275
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_block_js	0	5046
annexB_language_global_code_if_decl_else_decl_a_global_existing_block_fn_no_init_js	0	4700
annexB_language_global_code_if_decl_else_decl_b_global_existing_var_no_init_js	0	5148
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_for_in_js	0	5341
annexB_language_global_code_if_decl_else_decl_a_global_no_skip_try_js	0	5116
annexB_language_global_code_if_decl_else_stmt_global_existing_block_fn_no_init_js	0	4764
annexB_language_global_code_if_decl_else_stmt_global_block_scoping_js	0	6017
annexB_language_global_code_if_decl_else_decl_a_global_skip_early_err_js	0	4224
annexB_language_global_code_if_decl_else_decl_b_global_block_scoping_js	0	5362
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_switch_js	0	6314
annexB_language_global_code_if_decl_else_decl_b_global_existing_block_fn_no_init_js	0	4272
annexB_language_global_code_if_decl_else_decl_b_global_update_js	0	6600
annexB_language_global_code_if_decl_else_decl_a_global_existing_fn_no_init_js	0	4458
annexB_language_global_code_if_decl_else_decl_b_global_existing_var_update_js	0	6365
annexB_language_global_code_if_decl_else_decl_b_global_init_js	0	23979
annexB_language_global_code_if_decl_else_decl_a_global_existing_non_enumerable_global_init_js	0	26567
annexB_language_global_code_if_decl_else_decl_b_global_skip_early_err_for_of_js	0	5543
annexB_language_global_code_if_decl_else_decl_a_global_existing_fn_update_js	0	4582
annexB_language_function_code_switch_dflt_func_init_js	0	4685
annexB_language_function_code_switch_case_func_existing_fn_update_js	0	4557
annexB_language_function_code_switch_dflt_func_skip_dft_param_js	0	4534
annexB_language_function_code_switch_dflt_func_skip_param_js	0	4181
annexB_language_global_code_block_decl_global_existing_fn_no_init_js	0	4091
annexB_language_function_code_switch_case_func_init_js	0	4813
annexB_language_function_code_switch_case_func_skip_early_err_switch_js	0	4592
annexB_language_function_code_switch_case_func_skip_early_err_js	0	4520
annexB_language_global_code_block_decl_global_init_js	0	21032
annexB_language_global_code_block_decl_global_existing_var_no_init_js	0	4002
annexB_language_function_code_switch_case_func_skip_early_err_for_js	0	4742
annexB_language_function_code_switch_dflt_func_existing_block_fn_no_init_js	0	4108
annexB_language_function_code_switch_dflt_func_existing_block_fn_update_js	0	4371
annexB_language_function_code_switch_dflt_func_existing_var_update_js	0	4032
annexB_language_global_code_block_decl_global_block_scoping_js	0	6237
annexB_language_function_code_switch_dflt_func_skip_early_err_js	0	3933
annexB_language_global_code_block_decl_global_existing_block_fn_update_js	0	4475
annexB_language_function_code_switch_case_func_skip_early_err_for_in_js	0	5195
annexB_language_global_code_block_decl_global_existing_fn_update_js	0	4307
annexB_language_function_code_switch_dflt_func_skip_early_err_block_js	0	4479
annexB_language_function_code_switch_case_func_existing_block_fn_update_js	0	5262
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_try_js	0	3386
