peak_rss_mb	test_name
1145.844	language_identifiers_val_class_via_escape_hex4_js
1145.797	language_identifiers_val_class_via_escape_hex_js
1145.250	language_identifiers_val_catch_js
1145.203	language_identifiers_val_catch_via_escape_hex4_js
1145.109	language_identifiers_val_catch_via_escape_hex_js
1145.062	language_identifiers_val_case_js
1144.281	language_identifiers_val_case_via_escape_hex4_js
1144.234	language_identifiers_val_case_via_escape_hex_js
1144.109	language_identifiers_val_break_js
1139.562	language_identifiers_start_unicode_9_0_0_js
1138.281	language_identifiers_val_break_via_escape_hex4_js
1138.203	language_identifiers_val_break_via_escape_hex_js
1138.141	language_identifiers_unicode_escape_nls_err_js
1137.625	language_identifiers_start_zwnj_escaped_js
1137.281	language_identifiers_start_zwj_escaped_js
1137.203	language_identifiers_start_unicode_ltr_js
1083.188	language_identifiers_start_unicode_9_0_0_escaped_js
989.391	language_identifiers_start_unicode_9_0_0_class_js
987.516	language_identifiers_start_unicode_9_0_0_class_escaped_js
984.516	language_identifiers_start_unicode_8_0_0_js
952.156	language_identifiers_start_unicode_8_0_0_escaped_js
820.719	language_identifiers_start_unicode_7_0_0_escaped_js
803.062	built_ins_RegExp_property_escapes_generated_IDS_Trinary_Operator_js
787.156	built_ins_RegExp_property_escapes_generated_IDS_Binary_Operator_js
784.672	language_identifiers_start_unicode_7_0_0_class_js
778.219	language_identifiers_start_unicode_7_0_0_class_escaped_js
776.641	built_ins_RegExp_property_escapes_generated_Hex_Digit_js
771.078	language_identifiers_start_unicode_6_1_0_js
765.125	language_identifiers_start_unicode_6_1_0_escaped_js
764.609	built_ins_RegExp_property_escapes_generated_Grapheme_Extend_js
758.188	language_identifiers_start_unicode_6_1_0_class_js
757.766	language_identifiers_start_unicode_6_1_0_class_escaped_js
757.609	language_identifiers_start_unicode_8_0_0_class_js
751.750	language_identifiers_start_unicode_8_0_0_class_escaped_js
751.531	language_identifiers_start_unicode_6_0_0_js
748.953	language_identifiers_start_unicode_7_0_0_js
746.250	built_ins_RegExp_property_escapes_generated_Grapheme_Base_js
741.344	language_identifiers_start_unicode_6_0_0_escaped_js
732.391	language_identifiers_start_unicode_15_0_0_escaped_js
721.562	language_identifiers_start_unicode_6_0_0_class_js
720.984	language_identifiers_start_unicode_6_0_0_class_escaped_js
720.078	built_ins_RegExp_property_escapes_generated_General_Category___Uppercase_Letter_js
714.531	language_identifiers_start_unicode_5_2_0_js
706.562	language_identifiers_start_unicode_15_1_0_class_escaped_js
706.031	language_identifiers_start_unicode_15_0_0_js
702.969	built_ins_RegExp_property_escapes_generated_Script___Egyptian_Hieroglyphs_js
702.109	built_ins_RegExp_property_escapes_generated_General_Category___Titlecase_Letter_js
700.281	built_ins_RegExp_property_escapes_generated_General_Category___Symbol_js
