delta_mb	test
148.219	language_literals_regexp_S7_8_5_A2_1_T2_js
146.578	annexB_built_ins_RegExp_RegExp_leading_escape_BMP_js
146.469	language_literals_regexp_S7_8_5_A1_4_T2_js
146.453	language_literals_regexp_S7_8_5_A2_4_T2_js
145.375	annexB_built_ins_RegExp_RegExp_trailing_escape_BMP_js
144.578	language_literals_regexp_S7_8_5_A1_1_T2_js
103.297	language_expressions_dynamic_import_await_import_evaluation_js
99.188	language_destructuring_binding_syntax_recursive_array_and_object_patterns_js
88.375	built_ins_Function_prototype_toString_built_in_function_object_js
84.438	language_expressions_async_arrow_function_prototype_js
58.109	language_expressions_class_cpn_class_expr_accessors_computed_property_name_from_await_expression_js
55.719	language_module_code_top_level_await_syntax_for_of_await_expr_obj_literal_js
55.531	built_ins_TypedArrayConstructors_ctors_typedarray_arg_src_typedarray_resizable_buffer_js
55.281	built_ins_Object_defineProperties_typedarray_backed_by_resizable_buffer_js
54.625	language_module_code_top_level_await_syntax_export_class_decl_await_expr_literal_string_js
54.578	built_ins_Array_prototype_copyWithin_resizable_buffer_js
54.141	built_ins_TypedArray_prototype_toLocaleString_resizable_buffer_js
53.938	built_ins_Atomics_notify_bigint_notify_all_on_loc_js
53.422	built_ins_Array_prototype_slice_resizable_buffer_js
53.375	built_ins_Array_prototype_toLocaleString_resizable_buffer_js
