peak_mb	test
1032.422	built_ins_RegExp_property_escapes_generated_Script___Braille_js
1030.016	built_ins_RegExp_property_escapes_generated_Script___Palmyrene_js
1026.859	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gunjala_Gondi_js
1025.734	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Tham_js
1024.516	built_ins_RegExp_property_escapes_generated_Script___Duployan_js
1023.844	built_ins_RegExp_property_escapes_generated_Script___Garay_js
1021.969	built_ins_RegExp_property_escapes_generated_Script___Brahmi_js
1019.359	built_ins_RegExp_property_escapes_generated_Script___Bopomofo_js
1019.047	built_ins_RegExp_property_escapes_generated_Script___Pahawh_Hmong_js
1016.469	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gujarati_js
1015.109	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Le_js
1014.859	built_ins_RegExp_property_escapes_generated_Script___Dogra_js
1014.828	built_ins_RegExp_property_escapes_generated_Script___Ethiopic_js
1014.109	built_ins_RegExp_property_escapes_generated_Script___Elymaic_js
1013.172	built_ins_RegExp_property_escapes_generated_Script___Elbasan_js
1012.531	built_ins_RegExp_property_escapes_generated_Script___Egyptian_Hieroglyphs_js
1009.625	built_ins_RegExp_property_escapes_generated_Script___Dives_Akuru_js
1009.031	built_ins_RegExp_property_escapes_generated_Script___Bhaiksuki_js
1008.891	built_ins_RegExp_property_escapes_generated_Script___Devanagari_js
1008.453	built_ins_RegExp_property_escapes_generated_Script___Osmanya_js
